title,slug,description,order,demo_url,,image_url
Optimization Demo,scipy-optimize,"This demo uses scipy.optimize.minimize to find a local minimum of a mathematical function (Himmelblau's function). Optimization algorithms like this are fundamental building blocks in training many machine learning models (e.g., minimizing a loss function).",0,demos:optimization_demo,optimization_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Optimization+Demo
Django Security Demo,django-security,Building secure web applications is crucial. Django includes several built-in features to protect against common web vulnerabilities "out-of-the-box". Here's an overview of how Django helps keep this portfolio site secure:,1,demos:django_security_demo,django_security_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Django+Security+Demo
Django Testing Demo,django-testing,Writing automated tests is crucial for building reliable and maintainable applications. Django includes a powerful testing framework based on Python's `unittest` module to help verify that different parts of your code work as expected. This prevents regressions when you add new features or refactor existing code.,2,demos:django_testing_demo,django_testing_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Django+Testing+Demo
AI Tools Demo,ai-tools-dev,"AI tools like Large Language Models (LLMs) and code assistants (e.g., GitHub Copilot, ChatGPT) are rapidly changing development workflows. They offer huge potential, but also introduce many risks, especially depending on the user's experience level.",3,demos:ai_tools_demo,ai_tools_demo,https://placehold.co/600x400/f97316/FFFFFF?text=AI+Tools+Demo
Python Concepts Demo,python-concepts,Python's fundamental concepts are the building blocks for everything in data science and machine learning. This demo interactively showcases a few key ideas.,4,demos:python_concepts_demo,python_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Python+Concepts+Demo
R Concepts Demo,r-concepts,"Alongside Python, R is a powerful language and environment specifically designed for statistical computing and graphics. It's widely used by statisticians and data analysts, particularly in academia and fields like bioinformatics.",5,demos:r_concepts_demo,r_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=R+Concepts+Demo
Go Concepts Demo,go-concepts,"While Python dominates core ML model development, Go (Golang) is increasingly used for building the performant infrastructure and backend services that support ML/AI systems. Its strengths lie in simplicity, concurrency, and speed.",6,demos:go_concepts_demo,go_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Go+Concepts+Demo
Scala Concepts Demo,scala-concepts,"While Python is the primary language for most ML/DS model development, Scala plays a significant role in the Big Data ecosystem, particularly as the native language of Apache Spark.",7,demos:scala_concepts_demo,scala_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Scala+Concepts+Demo
Java Concepts Demo,java-concepts,"Java is a robust, object-oriented, platform-independent language widely used in large enterprise systems and forming the backbone of much of the Big Data ecosystem (like Hadoop and parts of Spark). ",8,demos:java_concepts_demo,java_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Java+Concepts+Demo
Language Comparison Demo,language-comparison,Language Comparison Demo,9,demos:language_comparison_demo,language_comparison_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Language+Comparison+Demo
Ruby Concepts Demo,ruby-concepts,Ruby Concepts Demo,10,demos:ruby_concepts_demo,ruby_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Ruby+Concepts+Demo
OOP Concepts Demo,oop-concepts,OOP Concepts Demo,11,demos:oop_concepts_demo,oop_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=OOP+Concepts+Demo
Kotlin Concepts Demo,kotlin-concepts,Kotlin Concepts Demo,12,demos:kotlin_concepts_demo,kotlin_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Kotlin+Concepts+Demo
Jupyter Notebooks Demo,jupyter-notebooks,Jupyter Notebooks Demo,13,demos:jupyter_demo,jupyter_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Jupyter+Notebooks+Demo
PySpark Concepts Demo,pyspark-concepts,PySpark Concepts Demo,14,demos:pyspark_concepts_demo,pyspark_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=PySpark+Concepts+Demo
PyTorch Concepts Demo,pytorch-concepts,PyTorch Concepts Demo,15,demos:pytorch_concepts_demo,pytorch_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=PyTorch+Concepts+Demo
"Security in ML, AI & Data Science",data-security,"Security in ML, AI & Data Science",16,demos:data_security_demo,data_security_demo,"https://placehold.co/600x400/f97316/FFFFFF?text=Security+in+ML,+AI+&+Data+Science"
Ethical Hacking Concepts Demo,ethical-hacking-ml,Ethical Hacking Concepts Demo,17,demos:ethical_hacking_demo,ethical_hacking_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Ethical+Hacking+Concepts+Demo
Django to Heroku Deployment Guide,deploy-to-heroku,Django to Heroku Deployment Guide,18,demos:deploying_django_app_to_heroku,deploying_django_app_to_heroku,https://placehold.co/600x400/f97316/FFFFFF?text=Django+to+Heroku+Deployment+Guide
Django to Render Deployment Guide,deploy-to-render,Django to Render Deployment Guide,19,demos:deploying_django_app_to_render,deploying_django_app_to_render,https://placehold.co/600x400/f97316/FFFFFF?text=Django+to+Render+Deployment+Guide
Django to Python Anywhere Deployment Guide,deploy-to-python-anywhere,Django to Python Anywhere Deployment Guide,20,demos:deploying_django_app_to_pythonanywhere,deploying_django_app_to_pythonanywhere,https://placehold.co/600x400/f97316/FFFFFF?text=Django+to+Python+Anywhere+Deployment+Guide
Django to Google App Engine Deployment Guide,deploy-to-google-app-engine,Django to Google App Engine Deployment Guide,21,demos:deploying_django_app_to_google_app_engine,deploying_django_app_to_google_app_engine,https://placehold.co/600x400/f97316/FFFFFF?text=Django+to+Google+App+Engine+Deployment+Guide
Django to AWS Elastic Beanstalk Deployment Guide,deploy-to-aws-elastic-beanstalk,Django to AWS Elastic Beanstalk Deployment Guide,22,demos:deploying_django_app_to_aws_elastic_beanstalk,deploying_django_app_to_aws_elastic_beanstalk,https://placehold.co/600x400/f97316/FFFFFF?text=Django+to+AWS+Elastic+Beanstalk+Deployment+Guide
Django Deployment Options,django-deployment-options,Django Deployment Options,23,demos:deploying_django_options,deploying_django_options,https://placehold.co/600x400/f97316/FFFFFF?text=Django+Deployment+Options
Django Deployment Comparisons,django-deployment-comparisons,Django Deployment Comparisons,24,demos:deploying_django_comparisons,deploying_django_comparisons,https://placehold.co/600x400/f97316/FFFFFF?text=Django+Deployment+Comparisons
Causal Inference Demo,causal-inference,Causal Inference Demo,25,demos:causal_inference,causal_inference,https://placehold.co/600x400/f97316/FFFFFF?text=Causal+Inference+Demo
Django Concepts Demo,django-concepts,Django Concepts Demo,26,demos:django_concepts_demo,django_concepts_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Django+Concepts+Demo
Flask API Demo,flask-ml-api,Flask API Demo,27,demos:flask_api_demo,flask_api_demo,https://placehold.co/600x400/f97316/FFFFFF?text=Flask+API+Demo
Explainable AI,explainable-ai,Explainable AI,28,demos:explainable_ai,explainable_ai,https://placehold.co/600x400/f97316/FFFFFF?text=Explainable+AI
Data Wrangling,data-wrangler,"Upload a small CSV file (with headers) to see some common data wrangling steps applied, such as handling missing values, renaming columns, and creating a new feature.",29,demos:data_wrangler,data_wrangler,https://placehold.co/600x400/f97316/FFFFFF?text=Data+Wrangling
Data Analysis,csv-analyzer,Data Analysis,30,demos:csv_analyzer,csv_analyzer,https://placehold.co/600x400/f97316/FFFFFF?text=Data+Analysis
Sentiment Analysis,sentiment-analyzer,Sentiment Analysis,31,demos:sentiment_analyzer,sentiment_analyzer,https://placehold.co/600x400/f97316/FFFFFF?text=Sentiment+Analysis
Image Classification,image-classifier,Image Classification,32,demos:image_classifier,image_classifier,https://placehold.co/600x400/f97316/FFFFFF?text=Image+Classification
